Car Name,Brand,Model Name,Model Year,KM Driven,Fuel Type,Transmission,Location,Price,EMI
2022 Maruti Suzuki Baleno Alpha 1.,Maruti,2022  Suzuki Baleno Alpha 1.,2022,"231,981 km",Petrol,Manual,"Beerappagadda, Hyderabad",Rs. 7.95 Lakh,"Rs. 14,308"
2016 Maruti Suzuki Baleno Zeta 1.2 AT,Maruti,2016  Suzuki Baleno Zeta 1.2 AT,2016,"50,888 km",Petrol,Automatic,"Beerappagadda, Hyderabad",Rs. 5.67 Lakh,"Rs. 10,205"
2023 Tata Altroz XZ Plus (S) iCNG,Tata,2023  Altroz XZ Plus (S) iCNG,2023,"14,800 km",CNG,Manual,"Beerappagadda, Hyderabad",Rs. 7.97 Lakh,"Rs. 14,344"
2018 Maruti Suzuki Ignis Zeta 1.2 AMT,Maruti,2018  Suzuki Ignis Zeta 1.2 AMT,2018,"25,807 km",Petrol,Automatic,"L B Nagar, Hyderabad",Rs. 5.58 Lakh,"Rs. 10,043"
2023 Nissan Magnite XV Turbo CVT [2020],Nissan,2023  Magnite XV Turbo CVT [2020],2023,"29,184 km",Petrol,Automatic,"Old MLA Quarters, Hyderabad",Rs. 8.02 Lakh,"Rs. 14,434"
2021 Tata Nexon XE,Tata,2021  Nexon XE,2021,"40,756 km",Petrol,Manual,"Hankimpet, Hyderabad",Rs. 6.43 Lakh,"Rs. 11,572"
2023 MG Astor Savvy 1.5 CVT Ivory [2023-2024],MG,2023  Astor Savvy 1.5 CVT Ivory [2023-2024],2023,"37,922 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 14.5 Lakh,"Rs. 26,097"
"2021 MG Hector Sharp 2.0 Diesel [2019-2020]1,",MG,"2021  Hector Sharp 2.0 Diesel [2019-2020]1,",2021,"32,251 km",Diesel,Manual,"Nagarjuna Hills, Hyderabad",Rs. 11.5 Lakh,"Rs. 20,698"
2023 MG Hector Plus Sharp Pro 2.0 Turbo Diesel 6 STR [2023],MG,2023  Hector Plus Sharp Pro 2.0 Turbo Diesel 6 STR [2023],2023,"35,630 km",Diesel,Manual,"Nagarjuna Hills, Hyderabad",Rs. 21 Lakh,"Rs. 37,796"
2020 MG Hector Plus Sharp 2.0 Diesel,MG,2020  Hector Plus Sharp 2.0 Diesel,2020,"80,372 km",Diesel,Manual,"Nagarjuna Hills, Hyderabad",Rs. 14 Lakh,"Rs. 25,197"
2017 Maruti Suzuki Baleno Alpha 1.,Maruti,2017  Suzuki Baleno Alpha 1.,2017,"244,781 km",Petrol,Manual,"L B Nagar, Hyderabad",Rs. 5.89 Lakh,"Rs. 10,601"
2023 Nissan Magnite XV Turbo CVT [2020],Nissan,2023  Magnite XV Turbo CVT [2020],2023,"29,184 km",Petrol,Automatic,"Old MLA Quarters, Hyderabad",Rs. 8.02 Lakh,"Rs. 14,434"
2021 Tata Nexon XE,Tata,2021  Nexon XE,2021,"40,756 km",Petrol,Manual,"Hankimpet, Hyderabad",Rs. 6.43 Lakh,"Rs. 11,572"
2012 Maruti Suzuki Wagon R VXi,Maruti,2012  Suzuki Wagon R VXi,2012,"69,724 km",Petrol,Manual,"Nagarjuna Hills, Hyderabad",Rs. 2.8 LakhMake,N/A
2023 MG Hector Sharp Pro 1.5 Turbo Petrol MT [2023],MG,2023  Hector Sharp Pro 1.5 Turbo Petrol MT [2023],2023,"34,552 km",Petrol,Manual,"Nagarjuna Hills, Hyderabad",Rs. 19 Lakh,"Rs. 34,196"
2019 MG Hector Sharp 2.0 Diesel Turbo MT,MG,2019  Hector Sharp 2.0 Diesel Turbo MT,2019,"84,959 km",Diesel,Manual,"Nagarjuna Hills, Hyderabad",Rs. 13 Lakh,"Rs. 23,397"
2020 MG Hector Sharp 2.0 Diesel Turbo MT,MG,2020  Hector Sharp 2.0 Diesel Turbo MT,2020,"94,133 km",Diesel,Manual,"Nagarjuna Hills, Hyderabad",Rs. 13.8 Lakh,"Rs. 24,837"
2018 Maruti Suzuki Ignis Zeta 1.2 AMT,Maruti,2018  Suzuki Ignis Zeta 1.2 AMT,2018,"25,807 km",Petrol,Automatic,"L B Nagar, Hyderabad",Rs. 5.58 Lakh,"Rs. 10,043"
2021 MG Hector Plus Sharp 1.5 Petrol Turbo CVT 6-STR,MG,2021  Hector Plus Sharp 1.5 Petrol Turbo CVT 6-STR,2021,"64,908 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 14.5 Lakh,"Rs. 26,097"
2022 MG Astor Sharp 1.5 CVT Old Generation [2021-2023],MG,2022  Astor Sharp 1.5 CVT Old Generation [2021-2023],2022,"34,129 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 13 Lakh,"Rs. 23,397"
2019 Tata Tiago Revotron XZA,Tata,2019  Tiago Revotron XZA,2019,"43,133 km",Petrol,Manual,"Hankimpet, Hyderabad",Rs. 4.77 Lakh,"Rs. 8,585"
2020 Ford Endeavour Titanium Plus 2.0 4x4 AT,Ford,2020  Endeavour Titanium Plus 2.0 4x4 AT,2020,"45,574 km",Diesel,Automatic,"Madhapur, Hyderabad",Rs. 33.5 Lakh,"Rs. 60,294"
2020 Kia Sonet GTX Plus 1.0 DCT [2020-2021],Kia,2020  Sonet GTX Plus 1.0 DCT [2020-2021],2020,"64,419 km",Petrol,Automatic,"Hankimpet, Hyderabad",Rs. 9.22 Lakh,"Rs. 16,594"
2023 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],Mahindra,2023  Thar LX Hard Top Diesel AT 4WD [2023],2023,"16,643 km",Diesel,Automatic,"Hankimpet, Hyderabad",Rs. 15.61 Lakh,"Rs. 28,095"
2017 Volkswagen Vento Highline 1.2 (P) AT,Volkswagen,2017  Vento Highline 1.2 (P) AT,2017,"54,354 km",Petrol,Automatic,"L B Nagar, Hyderabad",Rs. 6.96 Lakh,"Rs. 12,526"
2017 Hyundai Creta 1.6 SX Plus AT Petrol,Hyundai,2017  Creta 1.6 SX Plus AT Petrol,2017,"74,711 km",Petrol,Automatic,"Jntu Kukat Pally, Hyderabad",Rs. 8.97 Lakh,"Rs. 16,144"
2016 Maruti Suzuki Baleno Alpha 1.,Maruti,2016  Suzuki Baleno Alpha 1.,2016,"260,640 km",Petrol,Manual,"Hankimpet, Hyderabad",Rs. 5.3 Lakh,"Rs. 9,539"
2019 Tata Nexon XMA Petrol,Tata,2019  Nexon XMA Petrol,2019,"34,299 km",Petrol,Manual,"Old MLA Quarters, Hyderabad",Rs. 6.9 Lakh,"Rs. 12,418"
2022 Tata Altroz XZA Petrol [2022-2023],Tata,2022  Altroz XZA Petrol [2022-2023],2022,"25,066 km",Petrol,Manual,"Bellavista, Hyderabad",Rs. 7.89 Lakh,"Rs. 14,200"
2016 Hyundai Creta SX Plus 1.6  Petrol,Hyundai,2016  Creta SX Plus 1.6  Petrol,2016,"79,630 km",Petrol,Manual,"Jubilee Hills, Hyderabad",Rs. 7.95 Lakh,"Rs. 14,308"
"2014 BMW 3 Series GT 320d Luxury Line [2014-2016]1,",BMW,"2014  3 Series GT 320d Luxury Line [2014-2016]1,",2014,"39,388 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 16.75 LakhMake,N/A
2015 Nissan Micra XV CVT [2016-2017],Nissan,2015  Micra XV CVT [2016-2017],2015,"18,688 km",Petrol,Automatic,"Madhapur, Hyderabad",Rs. 4.4 Lakh,"Rs. 7,919"
2021 Toyota Innova Crysta ZX 2.4 7 STR,Toyota,2021  Innova Crysta ZX 2.4 7 STR,2021,"74,157 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 26.5 Lakh,"Rs. 47,695"
2015 Mercedes-Benz A-Class A 200 CDI,Mercedes-Benz,2015  A-Class A 200 CDI,2015,"69,214 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 14.5 Lakh,"Rs. 26,097"
"2010 Mahindra Scorpio VLX 2WD AT BS-IV1,",Mahindra,"2010  Scorpio VLX 2WD AT BS-IV1,",2010,"53,911 km",Diesel,Automatic,"Uppal, Hyderabad",Rs. 2.95 LakhMake,N/A
2010 Hyundai i10 Sportz 1.2 AT,Hyundai,2010  i10 Sportz 1.2 AT,2010,"41,151 km",Petrol,Automatic,"Uppal, Hyderabad",Rs. 2.65 LakhMake,N/A
2016 Maruti Suzuki Celerio VXi AMT,Maruti,2016  Suzuki Celerio VXi AMT,2016,"70,759 km",Petrol,Automatic,"Uppal, Hyderabad",Rs. 4.2 LakhMake,N/A
2012 Maruti Suzuki Alto LXi BS-IV,Maruti,2012  Suzuki Alto LXi BS-IV,2012,"78,724 km",Petrol,Manual,"Uppal, Hyderabad",Rs. 1.95 LakhMake,N/A
2022 BMW 5-Series 530i M Sport [2021-2023],BMW,2022  5-Series 530i M Sport [2021-2023],2022,"12,000 km",Petrol,Manual,"Madhapur, Hyderabad",Rs. 62 LakhMake,N/A
2022 Kia Sonet GTX Plus 1.5 AT [2020-2021],Kia,2022  Sonet GTX Plus 1.5 AT [2020-2021],2022,"31,628 km",Diesel,Automatic,"Beerappagadda, Hyderabad",Rs. 13.52 Lakh,"Rs. 24,339"
2016 Mercedes-Benz GLA 200 Sport,Mercedes-Benz,2016  GLA 200 Sport,2016,"69,810 km",Petrol,Manual,"Madhapur, Hyderabad",Rs. 20 Lakh,"Rs. 35,996"
2021 Hyundai Grand i10 NIOS Sportz U2 1.2 CRDi [2020-2020],Hyundai,2021  Grand i10 NIOS Sportz U2 1.2 CRDi [2020-2020],2021,"78,692 km",Diesel,Manual,"Uppal, Hyderabad",Rs. 6.5 LakhMake,N/A
2010 Toyota Prado VX L,Toyota,2010  Prado VX L,2010,"64,200 km",Diesel,Manual,"Attapur, Hyderabad",Rs. 38.5 LakhMake,N/A
2019 BMW X1 sDrive20d xLine,BMW,2019  X1 sDrive20d xLine,2019,"56,313 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 28.5 Lakh,"Rs. 51,295"
2022 Hyundai Verna SX (O)1.5 MPi,Hyundai,2022  Verna SX (O)1.5 MPi,2022,"25,161 km",Petrol,Manual,"Jubilee Hills, Hyderabad",Rs. 12.5 Lakh,"Rs. 22,503"
2017 Tata Nexon XM,Tata,2017  Nexon XM,2017,"30,682 km",Petrol,Manual,"Bellavista, Hyderabad",Rs. 5.86 Lakh,"Rs. 10,547"
2023 Mahindra Thar LX Hard Top Petrol MT,Mahindra,2023  Thar LX Hard Top Petrol MT,2023,"26,222 km",Petrol,Manual,"Jntu Kukat Pally, Hyderabad",Rs. 13.89 Lakh,"Rs. 24,991"
2015 Volkswagen Polo Comfortline 1.5L (D),Volkswagen,2015  Polo Comfortline 1.5L (D),2015,"66,039 km",Diesel,Manual,"Bellavista, Hyderabad",Rs. 5.16 Lakh,"Rs. 9,287"
2019 Hyundai Verna 1.6 VTVT SX,Hyundai,2019  Verna 1.6 VTVT SX,2019,"44,524 km",Petrol,Manual,"Bellavista, Hyderabad",Rs. 8.26 Lakh,"Rs. 14,866"
2016 Ford Ecosport Ambiente 1.5L TDCi,Ford,2016  Ecosport Ambiente 1.5L TDCi,2016,"37,554 km",Diesel,Manual,"Beerappagadda, Hyderabad",Rs. 5.84 Lakh,"Rs. 10,511"
2023 Maruti Suzuki Baleno Sigma 1.,Maruti,2023  Suzuki Baleno Sigma 1.,2023,"217,056 km",Petrol,Manual,"Bellavista, Hyderabad",Rs. 6.37 Lakh,"Rs. 11,464"
2016 Ford Ecosport Ambiente 1.5L TDCi,Ford,2016  Ecosport Ambiente 1.5L TDCi,2016,"51,762 km",Diesel,Manual,"Beerappagadda, Hyderabad",Rs. 5.67 Lakh,"Rs. 10,205"
2021 Maruti Suzuki DZire VXi AMT,Maruti,2021  Suzuki DZire VXi AMT,2021,"48,630 km",Petrol,Automatic,"Madhapur, Hyderabad",Rs. 7 Lakh,"Rs. 12,598"
2022 Mercedes-Benz E-Class E 220 d Avantgarde,Mercedes-Benz,2022  E-Class E 220 d Avantgarde,2022,"42,697 km",Diesel,Manual,"Rockdale Somajiguda, Hyderabad",Rs. 58 Lakh,Rs. 1.04
2017 Tata Nexon XM,Tata,2017  Nexon XM,2017,"30,682 km",Petrol,Manual,"Bellavista, Hyderabad",Rs. 5.86 Lakh,"Rs. 10,547"
2016 Ford Ecosport Ambiente 1.5L TDCi,Ford,2016  Ecosport Ambiente 1.5L TDCi,2016,"51,762 km",Diesel,Manual,"Beerappagadda, Hyderabad",Rs. 5.67 Lakh,"Rs. 10,205"
2023 Maruti Suzuki Baleno Sigma 1.,Maruti,2023  Suzuki Baleno Sigma 1.,2023,"217,056 km",Petrol,Manual,"Bellavista, Hyderabad",Rs. 6.37 Lakh,"Rs. 11,464"
2023 Mahindra Thar LX Hard Top Petrol MT,Mahindra,2023  Thar LX Hard Top Petrol MT,2023,"26,222 km",Petrol,Manual,"Jntu Kukat Pally, Hyderabad",Rs. 13.89 Lakh,"Rs. 24,991"
2019 Tata Nexon XZA Plus Petrol,Tata,2019  Nexon XZA Plus Petrol,2019,"43,378 km",Petrol,Manual,"Beerappagadda, Hyderabad",Rs. 8.55 Lakh,"Rs. 15,388"
2023 Nissan Magnite XV Premium Turbo CVT Dual Tone [2020],Nissan,2023  Magnite XV Premium Turbo CVT Dual Tone [2020],2023,"4,083 km",Petrol,Automatic,"Jubilee Hills, Hyderabad",Rs. 9.97 Lakh,"Rs. 17,944"
2017 Maruti Suzuki Ertiga VXi AT,Maruti,2017  Suzuki Ertiga VXi AT,2017,"45,964 km",Petrol,Automatic,"Jubilee Hills, Hyderabad",Rs. 7.29 Lakh,"Rs. 13,120"
2018 Hyundai Creta 1.6 SX Plus Petrol Special Edition,Hyundai,2018  Creta 1.6 SX Plus Petrol Special Edition,2018,"54,183 km",Petrol,Manual,"Jntu Kukat Pally, Hyderabad",Rs. 9.57 Lakh,"Rs. 17,224"
"2016 Honda City VX (O) MT1,",Honda,"2016  City VX (O) MT1,",2016,"01,350 km",Petrol,Manual,"Nagarjuna Hills, Hyderabad",Rs. 6 Lakh,"Rs. 10,799"
2021 Tata Nexon XZA Plus (S) [2022-2023],Tata,2021  Nexon XZA Plus (S) [2022-2023],2021,"32,236 km",Petrol,Manual,"Jntu Kukat Pally, Hyderabad",Rs. 9.55 Lakh,"Rs. 17,188"
2021 Hyundai Creta EX 1.5 Petrol [2020-2022],Hyundai,2021  Creta EX 1.5 Petrol [2020-2022],2021,"25,310 km",Petrol,Manual,"Jntu Kukat Pally, Hyderabad",Rs. 9.92 Lakh,"Rs. 17,854"
2021 Hyundai Creta SX 1.4 Turbo 7 DCT,Hyundai,2021  Creta SX 1.4 Turbo 7 DCT,2021,"39,285 km",Petrol,Automatic,"Jntu Kukat Pally, Hyderabad",Rs. 13.82 Lakh,"Rs. 24,865"
2019 Ford Ecosport Titanium 1.0 Ecoboost (Opt),Ford,2019  Ecosport Titanium 1.0 Ecoboost (Opt),2019,"59,628 km",Petrol,Manual,"Beerappagadda, Hyderabad",Rs. 7.69 Lakh,"Rs. 13,840"
2017 Hyundai Verna SX (O) 1.6 CRDi,Hyundai,2017  Verna SX (O) 1.6 CRDi,2017,"79,703 km",Diesel,Manual,"Beerappagadda, Hyderabad",Rs. 7.78 Lakh,"Rs. 14,002"
2022 Maruti Suzuki Eeco 5 STR AC (O),Maruti,2022  Suzuki Eeco 5 STR AC (O),2022,"8,655 km",Petrol,Manual,"Beerappagadda, Hyderabad",Rs. 5.01 Lakh,"Rs. 9,017"
2023 Maruti Suzuki Ertiga VXi (O),Maruti,2023  Suzuki Ertiga VXi (O),2023,"27,826 km",Petrol,Manual,"Jntu Kukat Pally, Hyderabad",Rs. 8.8 Lakh,"Rs. 15,838"
2018 Tata Nexon XZA Plus Petrol Dual Tone,Tata,2018  Nexon XZA Plus Petrol Dual Tone,2018,"71,175 km",Petrol,Manual,"Bellavista, Hyderabad",Rs. 7.68 Lakh,"Rs. 13,822"
2022 Tata Altroz XZ Petrol [2020-2023],Tata,2022  Altroz XZ Petrol [2020-2023],2022,"74,450 km",Petrol,Manual,"Bellavista, Hyderabad",Rs. 6.51 Lakh,"Rs. 11,716"
2020 Kia Sonet GTX Plus 1.0 DCT [2020-2021],Kia,2020  Sonet GTX Plus 1.0 DCT [2020-2021],2020,"42,886 km",Petrol,Automatic,"Jntu Kukat Pally, Hyderabad",Rs. 9.98 Lakh,"Rs. 17,962"
2022 Mahindra Thar LX Hard Top Petrol AT,Mahindra,2022  Thar LX Hard Top Petrol AT,2022,"75,227 km",Petrol,Automatic,"Jntu Kukat Pally, Hyderabad",Rs. 13.1 Lakh,"Rs. 23,573"
2021 Volkswagen Polo Trendline 1.0L (P),Volkswagen,2021  Polo Trendline 1.0L (P),2021,"31,268 km",Petrol,Manual,"Beerappagadda, Hyderabad",Rs. 5.95 Lakh,"Rs. 10,709"
2021 Mahindra Thar LX Hard Top Petrol AT,Mahindra,2021  Thar LX Hard Top Petrol AT,2021,"29,533 km",Petrol,Automatic,"Jntu Kukat Pally, Hyderabad",Rs. 12.91 Lakh,"Rs. 23,228"
2022 Tata Altroz XZ Petrol [2020-2023],Tata,2022  Altroz XZ Petrol [2020-2023],2022,"74,450 km",Petrol,Manual,"Jubilee Hills, Hyderabad",Rs. 6.51 Lakh,"Rs. 11,716"
2022 Tata Nexon XZ Plus (HS),Tata,2022  Nexon XZ Plus (HS),2022,"18,236 km",Petrol,Manual,"Bellavista, Hyderabad",Rs. 9.97 Lakh,"Rs. 17,944"
2022 Tata Nexon XZ Plus (HS),Tata,2022  Nexon XZ Plus (HS),2022,"18,236 km",Petrol,Manual,"Bellavista, Hyderabad",Rs. 9.97 Lakh,"Rs. 17,944"
2021 Ford Ecosport Titanium 1.5L TDCi [2019-2020],Ford,2021  Ecosport Titanium 1.5L TDCi [2019-2020],2021,"24,481 km",Diesel,Manual,"Jntu Kukat Pally, Hyderabad",Rs. 9.43 Lakh,"Rs. 16,972"
2021 Tata Nexon XZ Plus Dual Tone,Tata,2021  Nexon XZ Plus Dual Tone,2021,"47,941 km",Petrol,Manual,"Jubilee Hills, Hyderabad",Rs. 8.51 Lakh,"Rs. 15,316"
2021 Tata Nexon XZ Plus (S) [2022-2023],Tata,2021  Nexon XZ Plus (S) [2022-2023],2021,"44,827 km",Petrol,Manual,"Beerappagadda, Hyderabad",Rs. 9.2 Lakh,"Rs. 16,558"
2022 Mahindra Thar LX Hard Top Diesel AT,Mahindra,2022  Thar LX Hard Top Diesel AT,2022,"14,706 km",Diesel,Automatic,"Jntu Kukat Pally, Hyderabad",Rs. 15.29 Lakh,"Rs. 27,520"
2021 Hyundai Venue SX 1.5 CRDi,Hyundai,2021  Venue SX 1.5 CRDi,2021,"72,668 km",Diesel,Manual,"Uppal, Hyderabad",Rs. 9.8 LakhMake,N/A
2021 Hyundai Verna SX 1.5 MPi,Hyundai,2021  Verna SX 1.5 MPi,2021,"46,280 km",Petrol,Manual,"Beerappagadda, Hyderabad",Rs. 9.74 Lakh,"Rs. 17,530"
2022 Nissan Magnite XE  [2020],Nissan,2022  Magnite XE  [2020],2022,"20,922 km",Petrol,Manual,"Beerappagadda, Hyderabad",Rs. 5.21 Lakh,"Rs. 9,377"
2023 Maruti Suzuki Jimny Alpha AT,Maruti,2023  Suzuki Jimny Alpha AT,2023,"25,705 km",Petrol,Automatic,"Madhapur, Hyderabad",Rs. 14 Lakh,"Rs. 25,197"
2018 Ford Ecosport Trend + 1.5L TDCi,Ford,2018  Ecosport Trend + 1.5L TDCi,2018,"67,086 km",Diesel,Manual,"Jubilee Hills, Hyderabad",Rs. 7.22 Lakh,"Rs. 12,994"
2021 Tata Tiago Revotron XT [2016-2019],Tata,2021  Tiago Revotron XT [2016-2019],2021,"33,802 km",Petrol,Manual,"Bellavista, Hyderabad",Rs. 4.98 Lakh,"Rs. 8,963"
2021 Nissan Magnite XL Turbo CVT,Nissan,2021  Magnite XL Turbo CVT,2021,"58,398 km",Petrol,Automatic,"Jubilee Hills, Hyderabad",Rs. 6.44 Lakh,"Rs. 11,590"
2020 Hyundai Verna SX (O)1.5 MPi,Hyundai,2020  Verna SX (O)1.5 MPi,2020,"53,086 km",Petrol,Manual,"Jntu Kukat Pally, Hyderabad",Rs. 10.64 Lakh,"Rs. 19,157"
2021 Nissan Magnite XV Premium [2020],Nissan,2021  Magnite XV Premium [2020],2021,"41,893 km",Petrol,Manual,"Bellavista, Hyderabad",Rs. 6.46 Lakh,"Rs. 11,626"
"2014 Audi Q3 35 TDI Premium + Sunroof1,",Audi,"2014  Q3 35 TDI Premium + Sunroof1,",2014,"36,294 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 15 LakhMake,N/A
2018 Maruti Suzuki Swift VXi AMT [2018-2019],Maruti,2018  Suzuki Swift VXi AMT [2018-2019],2018,"87,405 km",Petrol,Automatic,"Madhapur, Hyderabad",Rs. 6.5 Lakh,"Rs. 11,698"
2021 Kia Seltos HTE 1.5 Diesel,Kia,2021  Seltos HTE 1.5 Diesel,2021,"82,176 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 13 Lakh,"Rs. 23,397"
2018 Audi Q3 30 TDI Premium FWD,Audi,2018  Q3 30 TDI Premium FWD,2018,"49,191 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 24.5 Lakh,"Rs. 44,095"
2012 Audi A4 2.0 TDI (143 bhp),Audi,2012  A4 2.0 TDI (143 bhp),2012,"39,876 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 8 LakhMake,N/A
2016 Jaguar XF Prestige Diesel CBU,Jaguar,2016  XF Prestige Diesel CBU,2016,"71,496 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 21 Lakh,"Rs. 37,796"
2017 Honda CR-V 2.4 AT,Honda,2017  CR-V 2.4 AT,2017,"54,000 km",Petrol,Automatic,"Attapur, Hyderabad",Rs. 16.5 Lakh,"Rs. 29,697"
2017 Mahindra TUV300 T1,Mahindra,2017  TUV300 T1,2017,"090,905 km",Diesel,Manual,"Uppal, Hyderabad",Rs. 8.5 Lakh,"Rs. 15,298"
2021 MG Astor Savvy 1.5 CVT S Red [2021-2023],MG,2021  Astor Savvy 1.5 CVT S Red [2021-2023],2021,"14,000 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 13.5 Lakh,"Rs. 24,297"
2015 Hyundai i10 1.1L iRDE Magna Special Edition,Hyundai,2015  i10 1.1L iRDE Magna Special Edition,2015,"61,214 km",Petrol,Manual,"Uppal, Hyderabad",Rs. 3.6 Lakh,"Rs. 6,479"
2012 Audi A4 2.0 TDI (143 bhp),Audi,2012  A4 2.0 TDI (143 bhp),2012,"39,876 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 8 LakhMake,N/A
2021 Kia Seltos HTE 1.5 Diesel,Kia,2021  Seltos HTE 1.5 Diesel,2021,"82,176 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 13 Lakh,"Rs. 23,397"
2017 Honda CR-V 2.4 AT,Honda,2017  CR-V 2.4 AT,2017,"54,000 km",Petrol,Automatic,"Attapur, Hyderabad",Rs. 16.5 Lakh,"Rs. 29,697"
N/A,N/A,N/A,2024,N/A,Petrol,Manual,"Madhapur, Hyderabad",Rs. 72 LakhMake,N/A
2011 Mercedes-Benz E-Class E350 CDI Avantgarde,Mercedes-Benz,2011  E-Class E350 CDI Avantgarde,2011,"96,081 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 13.5 LakhMake,N/A
2017 Mahindra TUV300 T1,Mahindra,2017  TUV300 T1,2017,"090,905 km",Diesel,Manual,"Uppal, Hyderabad",Rs. 8.5 Lakh,"Rs. 15,298"
2018 Hyundai Grand i10 Sports Edition 1.1 CRDi,Hyundai,2018  Grand i10 Sports Edition 1.1 CRDi,2018,"68,350 km",Diesel,Manual,"Uppal, Hyderabad",Rs. 5.45 LakhMake,N/A
2010 Hyundai i10 Magna 1.,Hyundai,2010  i10 Magna 1.,2010,"275,265 km",Petrol,Manual,"Uppal, Hyderabad",Rs. 2.35 LakhMake,N/A
2021 MG Astor Savvy 1.5 CVT S Red [2021-2023],MG,2021  Astor Savvy 1.5 CVT S Red [2021-2023],2021,"14,000 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 13.5 Lakh,"Rs. 24,297"
2015 Hyundai i10 1.1L iRDE Magna Special Edition,Hyundai,2015  i10 1.1L iRDE Magna Special Edition,2015,"61,214 km",Petrol,Manual,"Uppal, Hyderabad",Rs. 3.6 Lakh,"Rs. 6,479"
2012 Maruti Suzuki Wagon R LXi CNG,Maruti,2012  Suzuki Wagon R LXi CNG,2012,"92,369 km",CNG,Manual,"Uppal, Hyderabad",Rs. 2.75 LakhMake,N/A
2024 Mercedes-Benz A-Class Limousine 200d,Mercedes-Benz,2024  A-Class Limousine 200d,2024,"4,000 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 43.5 Lakh,"Rs. 78,292"
"2016 Audi Q3 35 TDI quattro Technology1,",Audi,"2016  Q3 35 TDI quattro Technology1,",2016,"37,396 km",Diesel,Manual,"Uppal, Hyderabad",Rs. 13.5 Lakh,"Rs. 24,297"
2017 Mercedes-Benz GLS 350 d,Mercedes-Benz,2017  GLS 350 d,2017,"88,000 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 54 Lakh,"Rs. 97,191"
2018 Mercedes-Benz GLS 350 d,Mercedes-Benz,2018  GLS 350 d,2018,"72,000 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 59 Lakh,Rs. 1.06
2014 Chevrolet Beat LS Petrol,Chevrolet,2014  Beat LS Petrol,2014,"79,764 km",Petrol,Manual,"Uppal, Hyderabad",Rs. 1.95 LakhMake,N/A
2019 Mercedes-Benz GLC 220d 4MATIC Progressive [2019-2021],Mercedes-Benz,2019  GLC 220d 4MATIC Progressive [2019-2021],2019,"43,000 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 48 Lakh,"Rs. 86,392"
2014 Maruti Suzuki Omni 5 STR BS-IV,Maruti,2014  Suzuki Omni 5 STR BS-IV,2014,"31,964 km",Petrol,Manual,"Uppal, Hyderabad",Rs. 2.75 LakhMake,N/A
2018 Toyota Fortuner 2.8 4x2 AT [2016-2020],Toyota,2018  Fortuner 2.8 4x2 AT [2016-2020],2018,"62,000 km",Diesel,Automatic,"Madhapur, Hyderabad",Rs. 31.5 Lakh,"Rs. 56,694"
2021 MG Hector Sharp 1.5 Petrol CVT,MG,2021  Hector Sharp 1.5 Petrol CVT,2021,"60,968 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 15 Lakh,"Rs. 26,997"
"2014 BMW X1 sDrive20d1,",BMW,"2014  X1 sDrive20d1,",2014,"15,063 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 14.5 LakhMake,N/A
2024 Mercedes-Benz EQS SUV 580 4MATIC,Mercedes-Benz,2024  EQS SUV 580 4MATIC,2024,"4,496 km",Electric,Manual,"Rockdale Somajiguda, Hyderabad",Rs. 2.11 Crore,Rs. 3.80
2020 Mercedes-Benz GLS 400d 4MATIC [2020-2023],Mercedes-Benz,2020  GLS 400d 4MATIC [2020-2023],2020,"28,000 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 92.5 Lakh,Rs. 1.66
2023 Maruti Suzuki Jimny Alpha AT,Maruti,2023  Suzuki Jimny Alpha AT,2023,"19,000 km",Petrol,Automatic,"Madhapur, Hyderabad",Rs. 14.5 Lakh,"Rs. 26,097"
2021 BMW 3-Series xDrive,BMW,2021  3-Series xDrive,2021,"40,160 km",Petrol,Manual,"Banjara Hills Hyderabad, Hyderabad",Rs. 58 LakhRs,Rs. 1.04
